"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20220101","2022","1","202201","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","55485687","false","8","kg","55485687","false","55485687","false","0","false","0","71228290.86","71228290.86","0","false","true",
"C","M","20220201","2022","2","202202","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","47505324","false","8","kg","47505324","false","47505324","false","0","false","0","60978699.01","60978699.01","0","false","true",
"C","M","20220301","2022","3","202203","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","51109419.6","false","8","kg","51109419.6","false","51109419.6","false","0","false","0","65005601.74","65005601.74","0","false","true",
"C","M","20220401","2022","4","202204","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44453692","false","8","kg","44453692","false","44453692","false","0","false","0","55664209.24","55664209.24","0","false","true",
"C","M","20220501","2022","5","202205","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37790670","false","8","kg","37790670","false","37790670","false","0","false","0","47254911.87","47254911.87","0","false","true",
"C","M","20220601","2022","6","202206","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","42007880","false","8","kg","42007880","false","42007880","false","0","false","0","52176417.88","52176417.88","0","false","true",
