"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20220101","2022","1","202201","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24700227","false","8","kg","24700227","false","24698438","false","0","false","0","30984864","30984864","0","false","true",
"C","M","20220201","2022","2","202202","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21821658","false","8","kg","21821658","false","21798591","false","0","false","0","26400307","26400307","0","false","true",
"C","M","20220301","2022","3","202203","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17132336","false","8","kg","17132336","false","17132246","false","0","false","0","20856235","20856235","0","false","true",
"C","M","20220401","2022","4","202204","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14221886","false","8","kg","14221886","false","14221839","false","0","false","0","16289140","16289140","0","false","true",
"C","M","20220501","2022","5","202205","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20922222.747","true","-1","N/A","0","false","20921936.747","true","0","false","0","23934941","23934941","6","false","true",
"C","M","20220601","2022","6","202206","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31132896.59","true","-1","N/A","0","false","31132301.59","true","0","false","0","34378978","34378978","6","false","true",
"C","M","20220701","2022","7","202207","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23367766","false","8","kg","23367766","false","23367259","false","0","false","0","26532862","26532862","0","false","true",
"C","M","20220801","2022","8","202208","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24051439","false","8","kg","24051439","false","24050132","false","0","false","0","27609848","27609848","0","false","true",
"C","M","20220901","2022","9","202209","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29217313.882","true","-1","N/A","0","false","29216773.882","true","0","false","0","33112668","33112668","6","false","true",
"C","M","20221001","2022","10","202210","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30057990","false","8","kg","30057990","false","30057104","false","0","false","0","34265689","34265689","0","false","true",
"C","M","20221101","2022","11","202211","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25602068","false","8","kg","25602068","false","25601384","false","0","false","0","30551545","30551545","0","false","true",
"C","M","20221201","2022","12","202212","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23324586","false","8","kg","23324586","false","23324546","false","0","false","0","27755932","27755932","0","false","true",
