"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20130101","2013","1","201301","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5184741","false","8","kg","5184741","false","5184741","false","0","false","0","7641390","7641390","0","false","true",
"C","M","20130201","2013","2","201302","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5220433","false","8","kg","5220433","false","5220433","false","0","false","0","7529016","7529016","0","false","true",
"C","M","20130301","2013","3","201303","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2237050","false","8","kg","2237050","false","2237050","false","0","false","0","2995438","2995438","0","false","true",
"C","M","20130401","2013","4","201304","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5772092","false","8","kg","5772092","false","5772092","false","0","false","0","8198869","8198869","0","false","true",
"C","M","20130501","2013","5","201305","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6134223","false","8","kg","6134223","false","6134223","false","0","false","0","8591115","8591115","0","false","true",
"C","M","20130601","2013","6","201306","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8680721","false","8","kg","8680721","false","8680721","false","0","false","0","12098952","12098952","0","false","true",
"C","M","20130701","2013","7","201307","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11174581","false","8","kg","11174581","false","11174581","false","0","false","0","15352530","15352530","0","false","true",
"C","M","20130801","2013","8","201308","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7196697","false","8","kg","7196697","false","7196697","false","0","false","0","9700279","9700279","0","false","true",
"C","M","20130901","2013","9","201309","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8839827","false","8","kg","8839827","false","8839827","false","0","false","0","12146880","12146880","0","false","true",
"C","M","20131001","2013","10","201310","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6796709","false","8","kg","6796709","false","6796709","false","0","false","0","9393538","9393538","0","false","true",
"C","M","20131101","2013","11","201311","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6594803","false","8","kg","6594803","false","6594803","false","0","false","0","9226513","9226513","0","false","true",
"C","M","20131201","2013","12","201312","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6797224","false","8","kg","6797224","false","6797224","false","0","false","0","9542799","9542799","0","false","true",
