"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20180101","2018","1","201801","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30824004","false","8","kg","30824004","false","30824004","false","0","false","0","29926520.898","29926520.898","0","false","true",
"C","M","20180201","2018","2","201802","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29700699","false","8","kg","29700699","false","29700699","false","0","false","0","29191995.948","29191995.948","0","false","true",
"C","M","20180301","2018","3","201803","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","53751558","false","8","kg","53751558","false","53751558","false","0","false","0","54357635.905","54357635.905","0","false","true",
"C","M","20180401","2018","4","201804","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46539771","false","8","kg","46539771","false","46539771","false","0","false","0","45628162.875","45628162.875","0","false","true",
"C","M","20180501","2018","5","201805","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39269313","false","8","kg","39269313","false","39269313","false","0","false","0","37060809.779","37060809.779","0","false","true",
"C","M","20180601","2018","6","201806","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40077708","false","8","kg","40077708","false","40077708","false","0","false","0","37864670.722","37864670.722","0","false","true",
"C","M","20180701","2018","7","201807","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39410607","false","8","kg","39410607","false","39410607","false","0","false","0","37237559.824","37237559.824","0","false","true",
"C","M","20180801","2018","8","201808","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","35506444","false","8","kg","35506444","false","35506444","false","0","false","0","34919600.318","34919600.318","0","false","true",
"C","M","20180901","2018","9","201809","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17131089","false","8","kg","17131089","false","17131089","false","0","false","0","16737908.951","16737908.951","0","false","true",
"C","M","20181001","2018","10","201810","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30355709","false","8","kg","30355709","false","30355709","false","0","false","0","29337435.414","29337435.414","0","false","true",
"C","M","20181101","2018","11","201811","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","61871524.676","true","-1","N/A","0","false","61871524.676","true","0","false","0","60683207.98","60683207.98","6","false","true",
"C","M","20181201","2018","12","201812","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46798055","false","8","kg","46798055","false","46798055","false","0","false","0","44361662.858","44361662.858","0","false","true",
