"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20210101","2021","1","202101","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","72144026","false","8","kg","72144026","false","72144026","false","0","false","0","81038010.469","81038010.469","0","false","true",
"C","M","20210201","2021","2","202102","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45533449","false","8","kg","45533449","false","45533449","false","0","false","0","54418741.896","54418741.896","0","false","true",
"C","M","20210301","2021","3","202103","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","48921465","false","8","kg","48921465","false","48921465","false","0","false","0","64662011.888","64662011.888","0","false","true",
"C","M","20210401","2021","4","202104","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","49983104","false","8","kg","49983104","false","49983104","false","0","false","0","64817931.921","64817931.921","0","false","true",
"C","M","20210501","2021","5","202105","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37383561","false","8","kg","37383561","false","37383561","false","0","false","0","47450370.731","47450370.731","0","false","true",
"C","M","20210601","2021","6","202106","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31158587","false","8","kg","31158587","false","31158587","false","0","false","0","38806806.348","38806806.348","0","false","true",
"C","M","20210701","2021","7","202107","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29250561","false","8","kg","29250561","false","29250561","false","0","false","0","34777286.567","34777286.567","0","false","true",
"C","M","20210801","2021","8","202108","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33242263","false","8","kg","33242263","false","33242263","false","0","false","0","42337884.453","42337884.453","0","false","true",
"C","M","20210901","2021","9","202109","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13995061","false","8","kg","13995061","false","13995061","false","0","false","0","18137185.992","18137185.992","0","false","true",
"C","M","20211001","2021","10","202110","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28240305.233","true","-1","N/A","0","false","28240305.233","true","0","false","0","39079442.06","39079442.06","6","false","true",
"C","M","20211101","2021","11","202111","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","74495430","false","8","kg","74495430","false","74495430","false","0","false","0","88565994.77","88565994.77","0","false","true",
"C","M","20211201","2021","12","202112","699","IND","India","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","94770697","false","8","kg","94770697","false","94770697","false","0","false","0","113376102.909","113376102.909","0","false","true",
