"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20180101","2018","1","201801","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14666601.3","false","8","kg","14666601.3","false","14666601.3","false","0","false","0","17834458.57","17834458.57","0","false","true",
"C","M","20180201","2018","2","201802","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11730587","false","8","kg","11730587","false","11730587","false","0","false","0","14231975.17","14231975.17","0","false","true",
"C","M","20180301","2018","3","201803","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11515471","false","8","kg","11515471","false","11515471","false","0","false","0","13366159.39","13366159.39","0","false","true",
"C","M","20180401","2018","4","201804","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4793759","false","8","kg","4793759","false","4793759","false","0","false","0","5178482.44","5178482.44","0","false","true",
"C","M","20180501","2018","5","201805","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4094976","false","8","kg","4094976","false","4094976","false","0","false","0","4464267.26","4464267.26","0","false","true",
"C","M","20180601","2018","6","201806","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5717111","false","8","kg","5717111","false","5717111","false","0","false","0","6696866.03","6696866.03","0","false","true",
"C","M","20180701","2018","7","201807","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7106983","false","8","kg","7106983","false","7106983","false","0","false","0","8648635.69","8648635.69","0","false","true",
"C","M","20180801","2018","8","201808","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7654206","false","8","kg","7654206","false","7654206","false","0","false","0","9201063.76","9201063.76","0","false","true",
"C","M","20180901","2018","9","201809","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8153338","false","8","kg","8153338","false","8153338","false","0","false","0","9562164.64","9562164.64","0","false","true",
"C","M","20181001","2018","10","201810","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9394130","false","8","kg","9394130","false","9394130","false","0","false","0","11242497.73","11242497.73","0","false","true",
"C","M","20181101","2018","11","201811","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11761410","false","8","kg","11761410","false","11761410","false","0","false","0","15010555.66","15010555.66","0","false","true",
"C","M","20181201","2018","12","201812","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H5","HS","true","1202","Ground-nuts; not roasted or otherwise cooked, whether or not shelled or broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10355444","false","8","kg","10355444","false","10355444","false","0","false","0","13041713.54","13041713.54","0","false","true",
